patch_id,lon,lat,label_confidence,has_coverage,ntl,builtup,elevation,total_tests,n_subtiles,mean_tests,coverage_fraction,log_mean_tests,split
patch_049259,71.54000000000013,12.499999999999964,confirmed_negative,0,0.1360640954788825,,,0.0,0.0,0.0,0.0,0.0,train
patch_018117,92.30000000000092,8.659999999999988,confirmed_negative,0,0.0829729846845303,,,0.0,0.0,0.0,0.0,0.0,val
patch_052888,82.64000000000055,12.91999999999996,confirmed_negative,0,0.143503947544064,,,0.0,0.0,0.0,0.0,0.0,val
patch_066924,68.72000000000003,14.659999999999949,confirmed_negative,0,0.1418561158945125,,,0.0,0.0,0.0,0.0,0.0,train
patch_096455,69.38000000000005,18.259999999999923,confirmed_negative,0,0.135220539474217,,,0.0,0.0,0.0,0.0,0.0,train
patch_018016,86.24000000000069,8.659999999999986,confirmed_negative,0,0.1155673112957801,,,0.0,0.0,0.0,0.0,0.0,train
patch_113513,89.1800000000008,20.29999999999991,confirmed_negative,0,0.1378325927271137,,,0.0,0.0,0.0,0.0,0.0,train
patch_103262,94.040000000001,19.03999999999992,confirmed_negative,0,0.1237108004316593,0.0,0.1019337989926834,0.0,0.0,0.0,0.0,0.0,train
patch_068663,84.50000000000063,14.839999999999948,confirmed_negative,0,0.1232916500689571,,,0.0,0.0,0.0,0.0,0.0,train
patch_052966,87.32000000000073,12.91999999999996,confirmed_negative,0,0.1014378847492385,,,0.0,0.0,0.0,0.0,0.0,val
patch_032023,70.5800000000001,10.399999999999974,confirmed_negative,0,0.1506020614049367,,,0.0,0.0,0.0,0.0,0.0,train
patch_002760,86.00000000000068,6.799999999999999,confirmed_negative,0,0.1110815276303507,,,0.0,0.0,0.0,0.0,0.0,train
patch_038742,89.96000000000083,11.17999999999997,confirmed_negative,0,0.0769575226758159,,,0.0,0.0,0.0,0.0,0.0,val
patch_095027,72.26000000000016,18.079999999999927,confirmed_negative,0,0.1523135703065671,,,0.0,0.0,0.0,0.0,0.0,train
patch_014704,94.160000000001,8.239999999999988,confirmed_negative,0,0.1021343934799622,,,0.0,0.0,0.0,0.0,0.0,val
patch_058841,85.58000000000067,13.639999999999956,confirmed_negative,0,0.1219603301653869,,,0.0,0.0,0.0,0.0,0.0,train
patch_030328,86.96000000000072,10.159999999999975,confirmed_negative,0,0.1058913827969149,,,0.0,0.0,0.0,0.0,0.0,train
patch_033788,87.92000000000075,10.579999999999972,confirmed_negative,0,0.1000771576729986,,,0.0,0.0,0.0,0.0,0.0,train
patch_076716,95.36000000000104,15.799999999999937,confirmed_negative,0,0.0959301565541612,0.0,5.6413323208032695,0.0,0.0,0.0,0.0,0.0,val
patch_073258,94.520000000001,15.37999999999994,confirmed_negative,0,0.0760120052052882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
